Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00006,6.17971
0.10000,-0.00108,7.32732
0.20000,-0.00478,7.64928
0.30000,-0.00909,7.67866
0.40000,-0.01279,7.17614
0.50000,-0.01644,7.13227
0.60000,-0.01985,6.74411
0.70000,-0.02320,7.41467
0.80000,-0.02661,7.58426
0.90000,-0.03007,7.00811
1.00000,-0.03336,6.92468
1.10000,-0.03671,7.30931
1.20000,-0.04006,6.52947
1.30000,-0.04323,7.59641
1.40000,-0.04664,6.61917
1.50000,-0.05004,6.60076
1.60000,-0.05327,7.04688
1.70000,-0.05668,7.21178
1.80000,-0.06009,6.96110
1.90000,-0.06326,6.50793
2.00000,-0.06661,7.19337
2.10000,-0.07001,7.21256
2.20000,-0.07324,6.72727
2.30000,-0.07665,6.95954
2.40000,-0.08012,6.61799
2.50000,-0.08335,7.50358
2.60000,-0.08663,6.69594
2.70000,-0.09004,5.95175
2.80000,-0.09333,6.95366
2.90000,-0.09656,6.02970
3.00000,-0.10009,6.42255
3.10000,-0.10338,6.51616
3.20000,-0.10660,6.55650
3.30000,-0.11001,6.17266
3.40000,-0.11336,6.32580
3.50000,-0.11653,6.43234
3.60000,-0.12000,6.25648
3.70000,-0.12341,6.32698
3.80000,-0.12663,6.07748
3.90000,-0.13004,5.51973
4.00000,-0.13339,5.84835
4.10000,-0.13656,5.47547
4.20000,-0.14003,5.83581
4.30000,-0.14344,5.58553
4.40000,-0.14666,6.13271
4.50000,-0.15007,5.46294
4.60000,-0.15348,5.14842
4.70000,-0.15665,6.16717
4.80000,-0.15994,5.24477
4.90000,-0.16334,5.75905
5.00000,-0.16663,5.12100
5.10000,-0.16992,5.37599
5.20000,-0.17339,4.69447
5.30000,-0.17674,4.93535
5.40000,-0.17991,4.13241
5.50000,-0.18325,4.82803
5.60000,-0.18666,5.02778
5.70000,-0.18989,4.32864
5.80000,-0.19330,3.16144
5.90000,-0.19683,3.31106
6.00000,-0.19994,2.57666
6.10000,-0.20334,2.82068
6.20000,-0.20675,1.53049
6.30000,-0.20998,0.72912
6.40000,-0.21333,-0.59671
6.50000,-0.21674,-1.74942
6.60000,-0.22003,-3.47358
6.70000,-0.22337,-6.43741
6.80000,-0.22672,-9.46351
6.90000,-0.22995,-13.06303
7.00000,-0.23324,-17.84815
7.10000,-0.23665,-23.16283
7.20000,-0.23994,-29.75829
7.30000,-0.24334,-35.73020
7.40000,-0.24669,-43.51832
7.50000,-0.25010,-51.34992
7.60000,-0.25327,-56.96031
7.70000,-0.25668,-68.84264
7.80000,-0.26002,-83.54191
7.90000,-0.26325,-98.42723
8.00000,-0.26666,-118.15603
8.10000,-0.27007,-139.33954
8.20000,-0.27324,-162.00984
8.30000,-0.27665,-188.87423
8.40000,-0.27999,-219.66873
8.50000,-0.28322,-249.94072
8.60000,-0.28663,-283.68805
8.70000,-0.29004,-322.63414
8.80000,-0.29327,-359.33552
8.90000,-0.29668,-402.07733
9.00000,-0.30008,-449.07201
9.10000,-0.30325,-493.88506
9.20000,-0.30660,-543.42640
9.30000,-0.31001,-594.83880
9.40000,-0.31330,-648.54720
9.50000,-0.31659,-703.49411
9.60000,-0.32005,-764.43837
9.70000,-0.32328,-822.46466
9.80000,-0.32651,-883.99881
9.90000,-0.32998,-950.85660
10.00000,-0.33333,-1018.09828
10.10000,-0.33650,-1084.33841
10.20000,-0.34002,-1156.43768
10.30000,-0.34337,-1230.46599
10.40000,-0.34648,-1300.39100
10.50000,-0.34995,-1373.52347
10.60000,-0.35336,-1443.49085
10.70000,-0.35652,-1516.69262
10.80000,-0.35999,-1599.89558
10.90000,-0.36340,-1682.58194
11.00000,-0.36663,-1762.09807
11.10000,-0.36998,-1846.92293
11.20000,-0.37339,-1936.83561
11.30000,-0.37655,-2019.22022
11.40000,-0.37990,-2105.48099
11.50000,-0.38337,-2200.69941
11.60000,-0.38660,-2288.63116
11.70000,-0.38995,-2379.96168
11.80000,-0.39341,-2481.18062
11.90000,-0.39658,-2576.29491
12.00000,-0.39987,-2668.30791
12.10000,-0.40328,-2772.20197
12.20000,-0.40657,-2871.44203
12.30000,-0.40980,-2966.94022
12.40000,-0.41332,-3071.64807
12.50000,-0.41673,-3181.96416
12.60000,-0.41984,-3273.79704
12.70000,-0.42331,-3381.82561
12.80000,-0.42666,-3487.49235
12.90000,-0.42989,-3591.83997
13.00000,-0.43329,-3697.07048
13.10000,-0.43670,-3810.59982
13.20000,-0.43993,-3917.39160
13.30000,-0.44328,-4027.96678
13.40000,-0.44663,-4143.87919
13.50000,-0.44992,-4255.39054
13.60000,-0.45320,-4367.26958
13.70000,-0.45667,-4484.15242
13.80000,-0.45990,-4600.69701
13.90000,-0.46331,-4719.87575
14.00000,-0.46666,-4838.00583
14.10000,-0.46995,-4959.10719
14.20000,-0.47317,-5072.88240
14.30000,-0.47664,-5200.53245
14.40000,-0.47993,-5323.02409
14.50000,-0.48322,-5440.50336
14.60000,-0.48669,-5570.95073
14.70000,-0.48992,-5695.96179
14.80000,-0.49314,-5816.85379
14.90000,-0.49661,-5947.81674
15.00000,-0.49996,-6078.77336
15.10000,-0.50319,-6203.76579
15.20000,-0.50666,-6336.54520
15.30000,-0.51000,-6469.96498
15.40000,-0.51323,-6594.06856
15.50000,-0.51664,-6731.76348
15.60000,-0.51999,-6867.37150
15.70000,-0.52322,-6993.77060
15.80000,-0.52663,-7135.37931
15.90000,-0.53003,-7275.35635
16.00000,-0.53332,-7408.58987
16.10000,-0.53661,-7545.99199
16.20000,-0.54002,-7691.32152
16.30000,-0.54325,-7823.85916
16.40000,-0.54654,-7959.34051
16.50000,-0.55000,-8104.72369
16.60000,-0.55329,-8241.88665
16.70000,-0.55658,-8377.46859
16.80000,-0.56005,-8527.89581
16.90000,-0.56322,-8667.74991
17.00000,-0.56645,-8802.81627
17.10000,-0.56997,-8941.71745
17.20000,-0.57326,-9087.45155
17.30000,-0.57649,-9217.49324
17.40000,-0.58008,-9375.08568
17.50000,-0.58337,-9520.14402
17.60000,-0.58654,-9658.32770
17.70000,-0.58994,-9805.20546
17.80000,-0.59335,-9954.11798
17.90000,-0.59652,-10088.68814
18.00000,-0.59993,-10232.15130
18.10000,-0.60334,-10383.60670
18.20000,-0.60656,-10525.51642
18.30000,-0.60991,-10669.35658
18.40000,-0.61338,-10824.05970
18.50000,-0.61661,-10965.57751
18.60000,-0.61984,-11108.92966
18.70000,-0.62331,-11259.09165
18.80000,-0.62659,-11406.89477
18.90000,-0.62982,-11547.19815
19.00000,-0.63341,-11704.06416
19.10000,-0.63658,-11848.42661
19.20000,-0.63981,-11987.66232
19.30000,-0.64334,-12145.18994
19.40000,-0.64656,-12287.17193
19.50000,-0.64991,-12429.30815
19.60000,-0.65332,-12583.85479
19.70000,-0.65661,-12733.25980
19.80000,-0.65984,-12869.53092
19.90000,-0.66324,-13025.97523
20.00000,-0.66659,-13175.02409
20.10000,-0.66988,-13315.37813
20.20000,-0.67323,-13459.45597
20.30000,-0.67664,-13617.92535
20.40000,-0.67993,-13760.51903
20.50000,-0.68321,-13906.42077
20.60000,-0.68662,-14054.77524
20.70000,-0.68991,-14203.38154
20.80000,-0.69326,-14341.63153
20.90000,-0.69673,-14496.35923
21.00000,-0.69990,-14640.88857
21.10000,-0.70330,-14792.87595
21.20000,-0.70665,-14940.12028
21.30000,-0.70988,-15081.35200
21.40000,-0.71323,-15231.27705
21.50000,-0.71670,-15385.31929
21.60000,-0.71987,-15522.19838
21.70000,-0.72327,-15675.99028
21.80000,-0.72668,-15834.00220
21.90000,-0.72985,-15969.22129
22.00000,-0.73314,-16110.91346
22.10000,-0.73661,-16273.70864
22.20000,-0.73984,-16414.37411
22.30000,-0.74324,-16555.56411
22.40000,-0.74659,-16706.98076
22.50000,-0.75000,-16863.41166
22.60000,-0.75323,-17006.47026
22.70000,-0.75664,-17150.74629
22.80000,-0.75998,-17302.85436
22.90000,-0.76321,-17441.81067
23.00000,-0.76662,-17585.96301
23.10000,-0.76997,-17735.95959
23.20000,-0.77326,-17881.04475
23.30000,-0.77661,-18027.91655
23.40000,-0.78001,-18177.49590
23.50000,-0.78318,-18312.71350
23.60000,-0.78653,-18457.04764
23.70000,-0.79006,-18617.08164
23.80000,-0.79323,-18757.16299
23.90000,-0.79658,-18896.48885
24.00000,-0.80004,-19060.98127
24.10000,-0.80327,-19200.62751
24.20000,-0.80656,-19341.54481
24.30000,-0.80997,-19493.92557
24.40000,-0.81332,-19640.88380
24.50000,-0.81649,-19772.63540
24.60000,-0.81995,-19927.22899
24.70000,-0.82330,-20081.58267
24.80000,-0.82653,-20217.15492
