Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00018,-0.32845
0.10000,-0.00096,0.23165
0.20000,-0.00472,1.66871
0.30000,-0.00915,1.25706
0.40000,-0.01297,1.00600
0.50000,-0.01662,0.96526
0.60000,-0.02009,0.62646
0.70000,-0.02350,1.35772
0.80000,-0.02685,0.99621
0.90000,-0.03025,0.50034
1.00000,-0.03354,1.16658
1.10000,-0.03695,0.81917
1.20000,-0.04024,0.99464
1.30000,-0.04347,1.07572
1.40000,-0.04687,1.28095
1.50000,-0.05028,1.09216
1.60000,-0.05351,0.24105
1.70000,-0.05692,1.03381
1.80000,-0.06033,0.55008
1.90000,-0.06350,0.50152
2.00000,-0.06690,0.96095
2.10000,-0.07031,0.86656
2.20000,-0.07354,0.72203
2.30000,-0.07695,1.50774
2.40000,-0.08042,1.10979
2.50000,-0.08359,1.17089
2.60000,-0.08687,0.52580
2.70000,-0.09028,1.33892
2.80000,-0.09357,0.13804
2.90000,-0.09686,0.77961
3.00000,-0.10033,0.10396
3.10000,-0.10362,0.85168
3.20000,-0.10684,1.19243
3.30000,-0.11025,0.52110
3.40000,-0.11354,0.70245
3.50000,-0.11683,0.38793
3.60000,-0.12024,0.82230
3.70000,-0.12364,0.59513
3.80000,-0.12687,1.33148
3.90000,-0.13028,1.47562
4.00000,-0.13369,0.84854
4.10000,-0.13680,0.62333
4.20000,-0.14027,1.38318
4.30000,-0.14361,1.08942
4.40000,-0.14684,0.83953
4.50000,-0.15031,0.98289
4.60000,-0.15378,0.83640
4.70000,-0.15689,0.86382
4.80000,-0.16018,1.11527
4.90000,-0.16358,1.12624
5.00000,-0.16681,0.62176
5.10000,-0.17016,1.18147
5.20000,-0.17363,0.11806
5.30000,-0.17692,1.00365
5.40000,-0.18015,0.15606
5.50000,-0.18355,0.30920
5.60000,-0.18684,0.68835
5.70000,-0.19013,0.38989
5.80000,-0.19360,0.29588
5.90000,-0.19695,-0.07582
6.00000,-0.20018,0.30450
6.10000,-0.20358,0.11846
6.20000,-0.20693,-0.09227
6.30000,-0.21022,-0.55836
6.40000,-0.21357,-0.27401
6.50000,-0.21698,-0.23836
6.60000,-0.22020,-0.26970
6.70000,-0.22361,-0.78005
6.80000,-0.22702,-0.99587
6.90000,-0.23025,-1.34955
7.00000,-0.23354,-1.50662
7.10000,-0.23695,-2.58020
7.20000,-0.24023,-3.60679
7.30000,-0.24358,-4.32200
7.40000,-0.24699,-6.02344
7.50000,-0.25034,-8.18276
7.60000,-0.25351,-9.95550
7.70000,-0.25698,-12.07761
7.80000,-0.26026,-15.75820
7.90000,-0.26349,-18.67346
8.00000,-0.26690,-21.82020
8.10000,-0.27025,-25.03039
8.20000,-0.27348,-30.24205
8.30000,-0.27689,-36.59154
8.40000,-0.28023,-44.30485
8.50000,-0.28346,-53.90565
8.60000,-0.28693,-66.14637
8.70000,-0.29028,-83.06449
8.80000,-0.29351,-101.81332
8.90000,-0.29691,-123.96505
9.00000,-0.30032,-151.65549
9.10000,-0.30349,-178.73569
9.20000,-0.30690,-209.88309
9.30000,-0.31031,-242.85570
9.40000,-0.31354,-276.22390
9.50000,-0.31688,-312.19439
9.60000,-0.32035,-353.03973
9.70000,-0.32352,-393.76519
9.80000,-0.32681,-435.55959
9.90000,-0.33028,-482.59576
10.00000,-0.33357,-529.54657
10.10000,-0.33679,-576.80011
10.20000,-0.34032,-630.23125
10.30000,-0.34355,-684.46095
10.40000,-0.34672,-734.63176
10.50000,-0.35019,-793.08692
10.60000,-0.35360,-851.08615
10.70000,-0.35670,-905.94217
10.80000,-0.36029,-968.82256
10.90000,-0.36364,-1033.22333
11.00000,-0.36687,-1094.09401
11.10000,-0.37028,-1161.42966
11.20000,-0.37362,-1231.16476
11.30000,-0.37679,-1295.22439
11.40000,-0.38014,-1367.19011
11.50000,-0.38361,-1443.00563
11.60000,-0.38684,-1512.32826
11.70000,-0.39019,-1587.75635
11.80000,-0.39365,-1669.50002
11.90000,-0.39682,-1745.60677
12.00000,-0.40011,-1824.69524
12.10000,-0.40352,-1907.98081
12.20000,-0.40687,-1992.73676
12.30000,-0.41010,-2071.64884
12.40000,-0.41362,-2160.64584
12.50000,-0.41691,-2251.22757
12.60000,-0.42008,-2331.37812
12.70000,-0.42355,-2421.16544
12.80000,-0.42690,-2512.66602
