Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.06933
0.10000,-0.01608,0.00654
0.20000,-0.05052,0.00351
0.30000,-0.08532,-0.04730
0.40000,-0.11808,-0.63208
0.50000,-0.14929,-1.41209
0.60000,-0.17979,-2.17646
0.70000,-0.20998,-3.03840
0.80000,-0.24011,-3.80551
0.90000,-0.27013,-4.72311
1.00000,-0.30008,-5.63220
1.10000,-0.33016,-6.57921
1.20000,-0.36011,-7.51866
1.30000,-0.39007,-8.46628
1.40000,-0.42008,-9.46815
1.50000,-0.45016,-10.51339
1.60000,-0.48005,-11.49375
1.70000,-0.51006,-12.56792
1.80000,-0.54014,-13.67610
1.90000,-0.57003,-14.72832
2.00000,-0.60011,-15.80842
2.10000,-0.63000,-16.93943
2.20000,-0.65996,-17.99353
2.30000,-0.68997,-19.19635
2.40000,-0.71993,-20.34884
2.50000,-0.75000,-21.47008
2.60000,-0.77989,-22.58293
2.70000,-0.80991,-23.66334
2.80000,-0.83998,-24.15290
2.90000,-0.87006,-24.37903
3.00000,-0.90001,-24.61449
3.10000,-0.93003,-25.45071
3.20000,-0.95998,-26.63414
3.30000,-0.98999,-27.83670
3.40000,-1.02001,-29.10930
3.50000,-1.05002,-30.30109
3.60000,-1.08010,-31.58063
3.70000,-1.10999,-32.67728
3.80000,-1.14001,-33.89314
3.90000,-1.17002,-35.10789
4.00000,-1.19992,-36.25767
4.10000,-1.22999,-37.50256
4.20000,-1.25988,-38.69304
4.30000,-1.29002,-39.84332
4.40000,-1.32003,-41.10708
4.50000,-1.35005,-42.35256
4.60000,-1.38006,-43.57542
4.70000,-1.41002,-44.68649
4.80000,-1.44003,-45.86873
4.90000,-1.46998,-47.12747
5.00000,-1.49988,-48.31873
5.10000,-1.53001,-49.53538
5.20000,-1.55991,-50.70777
5.30000,-1.59004,-51.92579
5.40000,-1.61994,-53.09015
5.50000,-1.65007,-54.31791
5.60000,-1.68008,-55.51883
5.70000,-1.70998,-56.68710
5.80000,-1.73999,-57.89390
5.90000,-1.76995,-59.11561
6.00000,-1.80002,-60.30170
6.10000,-1.83004,-61.53564
6.20000,-1.85999,-62.70280
6.30000,-1.89001,-63.96040
6.40000,-1.91996,-65.09291
6.50000,-1.95003,-66.33230
6.60000,-1.98005,-67.50336
6.70000,-2.01000,-68.67909
6.80000,-2.04008,-69.89127
6.90000,-2.07003,-71.13033
7.00000,-2.09999,-72.29963
7.10000,-2.13006,-73.54732
7.20000,-2.16002,-74.71433
7.30000,-2.19003,-75.91848
7.40000,-2.21992,-77.05816
7.50000,-2.25000,-78.25045
7.60000,-2.27995,-79.45613
7.70000,-2.30997,-80.62168
7.80000,-2.33992,-81.83338
7.90000,-2.37006,-83.03263
8.00000,-2.39995,-84.17900
8.10000,-2.42996,-85.43097
8.20000,-2.45998,-86.51805
8.30000,-2.48987,-87.69192
8.40000,-2.51995,-88.93315
8.50000,-2.54990,-90.05948
8.60000,-2.57998,-91.27025
8.70000,-2.60993,-92.45049
8.80000,-2.63995,-93.62404
8.90000,-2.66984,-94.79364
9.00000,-2.69997,-95.95337
9.10000,-2.72993,-97.23310
9.20000,-2.76006,-98.36085
9.30000,-2.78996,-99.53842
9.40000,-2.81997,-100.70350
9.50000,-2.85005,-101.91727
9.60000,-2.87988,-103.07790
9.70000,-2.91001,-104.19448
9.80000,-2.94003,-105.42591
9.90000,-2.97004,-106.54700
10.00000,-3.00000,-107.71403
10.10000,-3.02995,-108.95041
10.20000,-3.06009,-110.08822
10.30000,-3.08998,-111.30011
10.40000,-3.12000,-112.51612
10.50000,-3.15001,-113.63558
10.60000,-3.18002,-114.84714
10.70000,-3.21004,-115.92315
10.80000,-3.24011,-117.08508
10.90000,-3.27001,-118.25637
11.00000,-3.30008,-119.45299
11.10000,-3.33010,-120.65502
11.20000,-3.36017,-121.80707
11.30000,-3.39000,-122.99997
11.40000,-3.42014,-124.14505
11.50000,-3.44997,-125.35620
11.60000,-3.47999,-126.52736
11.70000,-3.51000,-127.59801
11.80000,-3.54008,-128.80344
11.90000,-3.57003,-129.93143
12.00000,-3.60005,-131.06569
12.10000,-3.62994,-132.30084
12.20000,-3.66001,-133.43496
12.30000,-3.68997,-134.57744
12.40000,-3.72004,-135.72710
12.50000,-3.75000,-136.86674
12.60000,-3.78001,-138.06573
12.70000,-3.81003,-139.16939
12.80000,-3.83998,-140.39599
12.90000,-3.86999,-141.51464
13.00000,-3.90007,-142.69854
13.10000,-3.93002,-143.91388
13.20000,-3.95998,-144.99812
13.30000,-3.98993,-146.14376
13.40000,-4.02007,-147.26887
13.50000,-4.05008,-148.36805
13.60000,-4.08004,-149.55085
13.70000,-4.11005,-150.68565
13.80000,-4.14000,-151.84049
13.90000,-4.17002,-153.04390
14.00000,-4.19991,-154.16449
14.10000,-4.22999,-155.33882
14.20000,-4.26000,-156.46519
14.30000,-4.29014,-157.63029
14.40000,-4.32003,-158.75390
14.50000,-4.35005,-159.84626
14.60000,-4.37994,-161.02228
14.70000,-4.40995,-162.13810
14.80000,-4.44003,-163.32923
14.90000,-4.47004,-164.45501
15.00000,-4.50006,-165.62330
15.10000,-4.53007,-166.79436
15.20000,-4.55991,-167.89641
15.30000,-4.58998,-169.05637
15.40000,-4.61999,-170.23487
15.50000,-4.65001,-171.38112
15.60000,-4.68008,-172.53600
15.70000,-4.71004,-173.67518
15.80000,-4.73999,-174.83670
15.90000,-4.76995,-175.98070
16.00000,-4.79996,-177.11196
16.10000,-4.82998,-178.30756
16.20000,-4.85999,-179.37286
16.30000,-4.88988,-180.55065
16.40000,-4.91990,-181.70388
16.50000,-4.95003,-182.92218
16.60000,-4.97993,-184.14004
16.70000,-5.00994,-185.23797
16.80000,-5.03990,-186.44307
16.90000,-5.06985,-187.62929
17.00000,-5.09992,-188.71943
17.10000,-5.13000,-189.92323
17.20000,-5.15989,-191.06492
17.30000,-5.19003,-192.23377
17.40000,-5.22004,-193.43365
17.50000,-5.25000,-194.59570
17.60000,-5.28001,-195.77391
17.70000,-5.31003,-196.90059
17.80000,-5.33998,-198.03826
17.90000,-5.37005,-199.19308
18.00000,-5.40007,-200.39029
18.10000,-5.43014,-201.53020
18.20000,-5.46004,-202.63255
18.30000,-5.49005,-203.85005
18.40000,-5.51995,-204.89875
18.50000,-5.54996,-206.05218
18.60000,-5.57992,-207.21782
18.70000,-5.60993,-208.28089
18.80000,-5.63994,-209.40034
18.90000,-5.66996,-210.50846
19.00000,-5.69997,-211.60964
19.10000,-5.72993,-212.79138
19.20000,-5.75994,-213.92256
19.30000,-5.79008,-215.04816
19.40000,-5.81997,-216.21780
19.50000,-5.84998,-217.28536
19.60000,-5.88000,-218.43426
19.70000,-5.90995,-219.46618
19.80000,-5.93997,-220.58310
19.90000,-5.97004,-221.69003
20.00000,-6.00000,-222.79179
20.10000,-6.03001,-223.95343
20.20000,-6.06002,-224.96527
20.30000,-6.08986,-226.13680
20.40000,-6.11993,-227.18661
20.50000,-6.15001,-228.27035
20.60000,-6.17996,-229.38410
20.70000,-6.20998,-230.40617
20.80000,-6.23993,-231.49719
20.90000,-6.26995,-232.57636
21.00000,-6.30002,-233.64455
21.10000,-6.32991,-234.79968
21.20000,-6.36011,-235.90798
21.30000,-6.39000,-236.94916
21.40000,-6.42002,-238.05633
21.50000,-6.45003,-239.05899
21.60000,-6.47981,-240.12534
21.70000,-6.51006,-241.16464
21.80000,-6.53995,-242.23445
21.90000,-6.57003,-243.31756
22.00000,-6.60004,-244.37020
22.10000,-6.63006,-245.51133
22.20000,-6.66007,-246.57380
22.30000,-6.69009,-247.61679
22.40000,-6.72010,-248.68289
22.50000,-6.75006,-249.72865
22.60000,-6.77995,-250.79526
22.70000,-6.80996,-251.76020
22.80000,-6.83998,-252.83961
22.90000,-6.86999,-253.87984
23.00000,-6.90007,-254.96323
