Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.08483
0.10000,-0.01447,-0.00848
0.20000,-0.04915,0.05688
0.30000,-0.08454,0.04416
0.40000,-0.11767,0.04657
0.50000,-0.14912,-0.00736
0.60000,-0.17973,-0.11582
0.70000,-0.20992,-0.21575
0.80000,-0.24011,-0.33241
0.90000,-0.27013,-0.43407
1.00000,-0.30008,-0.52350
1.10000,-0.33016,-0.62389
1.20000,-0.36011,-0.80358
1.30000,-0.39007,-0.88587
1.40000,-0.42008,-1.00534
1.50000,-0.45004,-1.11848
1.60000,-0.48005,-1.20226
1.70000,-0.51012,-1.38043
1.80000,-0.54008,-1.46685
1.90000,-0.57003,-1.58869
2.00000,-0.60011,-1.71523
2.10000,-0.63000,-1.79143
2.20000,-0.66008,-1.90176
2.30000,-0.69003,-2.08493
2.40000,-0.72004,-2.21406
2.50000,-0.75000,-2.32321
2.60000,-0.77989,-2.44742
2.70000,-0.80991,-2.59355
2.80000,-0.83992,-2.73665
2.90000,-0.87006,-2.89303
3.00000,-0.90001,-3.02029
3.10000,-0.93003,-3.12337
3.20000,-0.96004,-3.22670
3.30000,-0.98999,-3.38939
3.40000,-1.02001,-3.53292
3.50000,-1.05002,-3.65713
3.60000,-1.08010,-3.75880
3.70000,-1.10993,-3.84646
3.80000,-1.13995,-3.96873
3.90000,-1.17002,-4.15621
4.00000,-1.19992,-4.29188
4.10000,-1.22999,-4.36195
4.20000,-1.25982,-4.48284
4.30000,-1.28996,-4.66012
4.40000,-1.31997,-4.77965
4.50000,-1.35005,-4.89208
4.60000,-1.38006,-5.06441
4.70000,-1.41002,-5.17096
4.80000,-1.44003,-5.33977
4.90000,-1.46998,-5.44182
5.00000,-1.49988,-5.56302
5.10000,-1.52995,-5.76784
5.20000,-1.55991,-5.77298
5.30000,-1.59004,-5.97120
5.40000,-1.61994,-6.06396
5.50000,-1.65001,-6.21087
5.60000,-1.68008,-6.36724
5.70000,-1.70986,-6.43420
5.80000,-1.73981,-6.62118
5.90000,-1.76977,-6.70290
6.00000,-1.80002,-6.80213
6.10000,-1.83010,-6.97721
6.20000,-1.86005,-7.08687
6.30000,-1.89007,-7.21990
6.40000,-1.92002,-7.29938
6.50000,-1.95003,-7.47438
6.60000,-1.98005,-7.58859
6.70000,-2.01006,-7.74669
6.80000,-2.04008,-7.79888
6.90000,-2.07003,-7.95607
7.00000,-2.09999,-8.08820
7.10000,-2.13006,-8.17795
7.20000,-2.15996,-8.29941
7.30000,-2.19003,-8.44899
7.40000,-2.21992,-8.56984
7.50000,-2.25000,-8.74501
7.60000,-2.27995,-8.86832
7.70000,-2.31003,-8.96203
7.80000,-2.33992,-9.07362
7.90000,-2.37012,-9.21604
8.00000,-2.39995,-9.31145
8.10000,-2.42996,-9.50487
8.20000,-2.45992,-9.57406
8.30000,-2.48987,-9.68808
8.40000,-2.51989,-9.81862
8.50000,-2.54984,-10.00709
8.60000,-2.57998,-10.12528
8.70000,-2.60993,-10.23278
8.80000,-2.63995,-10.34559
8.90000,-2.66984,-10.46143
9.00000,-2.69997,-10.60721
9.10000,-2.72993,-10.78075
9.20000,-2.76000,-10.85400
9.30000,-2.78996,-10.95094
9.40000,-2.81997,-11.12081
9.50000,-2.84999,-11.22966
9.60000,-2.87982,-11.34731
9.70000,-2.91001,-11.47588
9.80000,-2.94003,-11.61402
9.90000,-2.97004,-11.72221
10.00000,-3.00000,-11.82543
10.10000,-3.03001,-11.98670
10.20000,-3.06003,-12.12527
10.30000,-3.08998,-12.23201
10.40000,-3.12000,-12.38458
10.50000,-3.15001,-12.41558
10.60000,-3.18002,-12.63134
10.70000,-3.21004,-12.69466
10.80000,-3.24011,-12.88773
10.90000,-3.26995,-12.97475
11.00000,-3.30002,-13.13770
11.10000,-3.33010,-13.27119
11.20000,-3.36017,-13.35903
11.30000,-3.39000,-13.44486
11.40000,-3.42014,-13.61988
11.50000,-3.45003,-13.76759
11.60000,-3.47999,-13.85739
11.70000,-3.51000,-13.98992
11.80000,-3.54014,-14.13571
11.90000,-3.57003,-14.23097
12.00000,-3.60005,-14.32080
12.10000,-3.62994,-14.50248
12.20000,-3.66001,-14.54588
12.30000,-3.68997,-14.77283
12.40000,-3.71998,-14.82462
12.50000,-3.75000,-14.99624
12.60000,-3.77995,-15.07082
12.70000,-3.80997,-15.25971
12.80000,-3.83998,-15.35219
12.90000,-3.86999,-15.43380
13.00000,-3.90013,-15.61380
13.10000,-3.93002,-15.75787
13.20000,-3.96004,-15.78143
13.30000,-3.98999,-16.01487
13.40000,-4.02007,-16.02625
13.50000,-4.05002,-16.22792
13.60000,-4.08004,-16.31111
13.70000,-4.10999,-16.47657
13.80000,-4.14006,-16.62747
13.90000,-4.16996,-16.69077
14.00000,-4.19991,-16.85488
14.10000,-4.22999,-16.98198
14.20000,-4.26000,-17.07255
14.30000,-4.29008,-17.19107
14.40000,-4.32003,-17.36317
14.50000,-4.34999,-17.45357
14.60000,-4.37994,-17.57595
14.70000,-4.40995,-17.70392
14.80000,-4.43997,-17.81154
14.90000,-4.46998,-17.98007
15.00000,-4.50006,-18.06230
15.10000,-4.53001,-18.26204
15.20000,-4.55997,-18.33865
15.30000,-4.58998,-18.41633
15.40000,-4.61999,-18.53599
15.50000,-4.65001,-18.72440
15.60000,-4.68008,-18.88916
15.70000,-4.70998,-18.88861
15.80000,-4.73993,-19.08880
15.90000,-4.76995,-19.15843
16.00000,-4.79996,-19.30959
16.10000,-4.83004,-19.48008
16.20000,-4.85993,-19.57525
16.30000,-4.88994,-19.71787
16.40000,-4.91990,-19.79001
16.50000,-4.95003,-19.96339
16.60000,-4.97993,-20.12269
16.70000,-5.00994,-20.20176
16.80000,-5.03990,-20.32203
16.90000,-5.06985,-20.40114
17.00000,-5.09992,-20.61858
17.10000,-5.13000,-20.80363
17.20000,-5.15995,-20.77706
17.30000,-5.19003,-20.95023
17.40000,-5.22004,-21.11592
17.50000,-5.25000,-21.24710
17.60000,-5.28001,-21.42739
17.70000,-5.30997,-21.46281
