Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00006,-1.77152
0.10000,-0.01901,-0.71791
0.20000,-0.05704,-0.18640
0.30000,-0.09524,0.15984
0.40000,-0.13130,-1.69867
0.50000,-0.16586,-1.78288
0.60000,-0.19976,-1.81970
0.70000,-0.23336,-2.37118
0.80000,-0.26672,-2.65515
0.90000,-0.30008,-3.16159
1.00000,-0.33339,-2.82083
1.10000,-0.36675,-3.03664
1.20000,-0.40005,-3.79023
1.30000,-0.43341,-3.71190
1.40000,-0.46672,-3.67038
1.50000,-0.50002,-4.17917
1.60000,-0.53338,-3.44555
1.70000,-0.56663,-4.29354
1.80000,-0.59993,-4.35268
1.90000,-0.63335,-5.07141
2.00000,-0.66665,-4.90965
2.10000,-0.70008,-5.46387
2.20000,-0.73332,-5.20066
2.30000,-0.76662,-6.06079
2.40000,-0.80004,-5.37182
2.50000,-0.83341,-6.44855
2.60000,-0.86671,-6.22568
2.70000,-0.90007,-7.14573
2.80000,-0.93337,-6.78892
2.90000,-0.96668,-6.64791
3.00000,-0.99998,-7.26128
3.10000,-1.03334,-7.27264
3.20000,-1.06670,-8.35719
3.30000,-1.09995,-8.37834
3.40000,-1.13337,-8.19425
3.50000,-1.16667,-8.99524
3.60000,-1.19992,-8.77276
3.70000,-1.23340,-8.86872
3.80000,-1.26664,-9.57374
3.90000,-1.29994,-9.21379
4.00000,-1.33331,-9.99636
4.10000,-1.36667,-9.73472
4.20000,-1.40009,-10.31754
4.30000,-1.43333,-10.70961
4.40000,-1.46676,-10.26388
4.50000,-1.50006,-10.82476
4.60000,-1.53336,-10.75113
4.70000,-1.56672,-11.07309
4.80000,-1.60003,-10.90584
4.90000,-1.63333,-11.58893
5.00000,-1.66675,-11.12165
5.10000,-1.69999,-12.08518
5.20000,-1.73336,-12.31705
5.30000,-1.76672,-12.40988
5.40000,-1.80002,-12.55206
5.50000,-1.83327,-12.72871
5.60000,-1.86651,-13.03226
5.70000,-1.90005,-13.30643
5.80000,-1.93323,-13.98012
5.90000,-1.96666,-13.83833
6.00000,-1.99996,-13.52930
6.10000,-2.03332,-13.53909
6.20000,-2.06668,-14.03025
6.30000,-2.09999,-14.59231
6.40000,-2.13329,-14.99574
6.50000,-2.16665,-14.24372
6.60000,-2.19995,-15.35608
6.70000,-2.23332,-15.11481
6.80000,-2.26674,-15.08896
6.90000,-2.29992,-15.45674
7.00000,-2.33329,-16.01723
7.10000,-2.36665,-16.18291
7.20000,-2.39995,-16.70620
7.30000,-2.43325,-16.83662
7.40000,-2.46656,-17.25611
7.50000,-2.49998,-17.38145
7.60000,-2.53328,-18.19966
7.70000,-2.56658,-17.39163
7.80000,-2.60001,-17.83188
7.90000,-2.63325,-17.84089
8.00000,-2.66667,-18.42644
8.10000,-2.70003,-18.70806
8.20000,-2.73340,-18.97636
8.30000,-2.76664,-19.09073
8.40000,-2.80000,-18.80833
8.50000,-2.83331,-19.01553
8.60000,-2.86673,-19.24779
8.70000,-2.90009,-19.45499
8.80000,-2.93345,-19.64534
8.90000,-2.96664,-19.95399
9.00000,-3.00012,-20.49646
9.10000,-3.03324,-20.66958
9.20000,-3.06660,-20.08598
9.30000,-3.09997,-21.42043
9.40000,-3.13333,-20.93161
9.50000,-3.16675,-21.64290
9.60000,-3.20005,-21.31272
9.70000,-3.23330,-22.29779
