Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00006,-0.01401
0.10000,-0.01704,-0.00125
0.20000,-0.05118,0.05963
0.30000,-0.08562,0.06300
0.40000,-0.11814,0.03010
0.50000,-0.14923,0.02592
0.60000,-0.17991,-0.00454
0.70000,-0.20998,0.00180
0.80000,-0.24005,0.01046
0.90000,-0.27013,0.01357
1.00000,-0.30002,-0.00293
1.10000,-0.33010,0.00937
1.20000,-0.36017,0.00288
1.30000,-0.39001,-0.01942
1.40000,-0.42020,-0.02771
1.50000,-0.45004,-0.02731
1.60000,-0.47999,0.02115
1.70000,-0.50994,-0.02365
1.80000,-0.53996,-1.44599
1.90000,-0.57003,-4.88074
2.00000,-0.59999,-8.62729
2.10000,-0.63000,-12.31395
2.20000,-0.66002,-15.95035
2.30000,-0.68991,-19.55001
2.40000,-0.72004,-23.11607
2.50000,-0.74994,-23.97979
2.60000,-0.78007,-24.02490
2.70000,-0.80997,-25.08767
2.80000,-0.84004,-27.48221
2.90000,-0.87000,-30.93333
3.00000,-0.89995,-34.90916
3.10000,-0.92997,-39.01373
3.20000,-0.95998,-42.81543
3.30000,-0.98999,-46.53882
3.40000,-1.02001,-50.37771
3.50000,-1.04996,-54.50346
3.60000,-1.07998,-58.57482
3.70000,-1.10993,-62.80870
3.80000,-1.14001,-66.98557
3.90000,-1.16996,-71.14826
4.00000,-1.19998,-75.35101
4.10000,-1.23005,-79.57873
4.20000,-1.26000,-83.78868
4.30000,-1.29002,-87.94902
4.40000,-1.31991,-92.15350
4.50000,-1.34993,-96.38966
4.60000,-1.37988,-100.51573
4.70000,-1.40996,-104.79767
4.80000,-1.43991,-108.99713
4.90000,-1.46992,-113.19340
5.00000,-1.50000,-117.41945
5.10000,-1.53001,-121.70372
5.20000,-1.56003,-125.87151
5.30000,-1.59004,-130.11303
5.40000,-1.62000,-134.40005
5.50000,-1.65007,-138.63874
5.60000,-1.68008,-142.84713
5.70000,-1.71004,-147.14140
5.80000,-1.73999,-151.32330
5.90000,-1.77007,-155.58000
6.00000,-1.79996,-159.87352
6.10000,-1.82998,-164.10816
6.20000,-1.85999,-168.33857
6.30000,-1.88995,-172.52369
6.40000,-1.91984,-176.80967
6.50000,-1.95003,-181.09197
6.60000,-1.97999,-185.32410
6.70000,-2.00994,-189.66125
6.80000,-2.03996,-193.91626
6.90000,-2.06997,-198.16617
7.00000,-2.09999,-202.44980
7.10000,-2.13000,-206.73821
7.20000,-2.15996,-210.93009
7.30000,-2.19003,-215.19728
7.40000,-2.22004,-219.49325
7.50000,-2.25012,-223.70430
7.60000,-2.27995,-227.97955
7.70000,-2.31003,-232.22942
7.80000,-2.34010,-236.49346
7.90000,-2.36994,-240.67493
8.00000,-2.40007,-244.95590
8.10000,-2.43002,-249.21063
8.20000,-2.45998,-253.46266
8.30000,-2.49005,-257.64348
8.40000,-2.51995,-261.96185
8.50000,-2.54996,-266.11960
8.60000,-2.57992,-270.42512
8.70000,-2.60999,-274.65641
8.80000,-2.64001,-278.81023
8.90000,-2.66996,-283.06972
9.00000,-2.69997,-287.24359
9.10000,-2.72999,-291.44062
9.20000,-2.76000,-295.65943
9.30000,-2.79002,-299.83163
9.40000,-2.82003,-304.08936
9.50000,-2.85005,-308.26731
9.60000,-2.88000,-312.52500
9.70000,-2.91007,-316.73554
9.80000,-2.93991,-320.88686
9.90000,-2.97004,-325.10895
10.00000,-2.99994,-329.30445
10.10000,-3.03001,-333.50956
10.20000,-3.05997,-337.60026
10.30000,-3.08998,-341.80023
10.40000,-3.11994,-346.05317
10.50000,-3.14995,-350.20411
10.60000,-3.17996,-354.43004
10.70000,-3.21004,-358.66607
10.80000,-3.24005,-362.87166
10.90000,-3.27007,-367.05576
11.00000,-3.30008,-371.21702
11.10000,-3.32998,-375.45253
11.20000,-3.35999,-379.56711
11.30000,-3.38989,-383.86099
11.40000,-3.41990,-388.01230
11.50000,-3.44991,-392.18076
11.60000,-3.47999,-396.37387
11.70000,-3.51006,-400.51948
11.80000,-3.54002,-404.69505
11.90000,-3.57009,-408.87512
12.00000,-3.60005,-413.09640
12.10000,-3.63012,-417.28366
12.20000,-3.65995,-421.41348
12.30000,-3.68991,-425.60175
12.40000,-3.72004,-429.76096
12.50000,-3.75000,-433.98883
12.60000,-3.78007,-438.21700
12.70000,-3.80997,-442.36135
12.80000,-3.84004,-446.54861
12.90000,-3.86999,-450.67824
13.00000,-3.90007,-454.84453
13.10000,-3.93002,-459.05385
13.20000,-3.96010,-463.16165
13.30000,-3.98999,-467.42789
13.40000,-4.02007,-471.66198
13.50000,-4.04996,-475.77050
13.60000,-4.08010,-480.02362
13.70000,-4.10999,-484.18108
13.80000,-4.14006,-488.34141
13.90000,-4.17002,-492.57021
14.00000,-4.20003,-496.77104
14.10000,-4.23005,-500.93915
14.20000,-4.26000,-505.01838
14.30000,-4.28990,-509.22405
14.40000,-4.31997,-513.39157
14.50000,-4.34999,-517.62793
14.60000,-4.37988,-521.79407
14.70000,-4.41001,-526.03394
14.80000,-4.43997,-530.17687
14.90000,-4.46992,-534.35747
15.00000,-4.49994,-538.54432
15.10000,-4.53001,-542.64583
15.20000,-4.55997,-546.85976
15.30000,-4.59004,-551.02833
15.40000,-4.61999,-555.14459
15.50000,-4.64995,-559.37778
15.60000,-4.68002,-563.58494
15.70000,-4.70992,-567.71930
15.80000,-4.73999,-571.88947
15.90000,-4.76995,-576.01482
16.00000,-4.80008,-580.20726
16.10000,-4.83004,-584.39262
16.20000,-4.86005,-588.48932
16.30000,-4.88994,-592.66493
16.40000,-4.91996,-596.81952
16.50000,-4.94997,-601.01632
16.60000,-4.97993,-605.14003
16.70000,-5.01000,-609.29704
16.80000,-5.04002,-613.41569
16.90000,-5.07009,-617.56067
17.00000,-5.09998,-621.74968
17.10000,-5.13012,-625.87820
17.20000,-5.16007,-630.07273
17.30000,-5.19003,-634.20139
17.40000,-5.21998,-638.34429
17.50000,-5.25006,-642.51795
17.60000,-5.28001,-646.67381
17.70000,-5.30997,-650.82788
17.80000,-5.34004,-654.95111
17.90000,-5.36999,-659.05064
18.00000,-5.39995,-663.19138
18.10000,-5.43002,-667.31200
18.20000,-5.45998,-671.35006
18.30000,-5.48993,-675.47835
18.40000,-5.51995,-679.67705
18.50000,-5.55020,-683.88358
18.60000,-5.57997,-687.94996
18.70000,-5.61005,-692.10038
18.80000,-5.64000,-696.23917
18.90000,-5.66996,-700.34958
19.00000,-5.69997,-704.47944
19.10000,-5.73005,-708.59566
19.20000,-5.75994,-712.69028
19.30000,-5.79008,-716.87989
19.40000,-5.81997,-720.98069
19.50000,-5.85004,-725.08946
19.60000,-5.87994,-729.24085
19.70000,-5.91001,-733.32228
19.80000,-5.93997,-737.45750
19.90000,-5.96992,-741.62029
20.00000,-6.00006,-745.73711
20.10000,-6.02995,-749.86272
20.20000,-6.06002,-753.97968
20.30000,-6.08998,-758.09874
