Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.10288
0.10000,-0.01614,0.06105
0.20000,-0.05058,0.07344
0.30000,-0.08532,0.04693
0.40000,-0.11808,0.04720
0.50000,-0.14923,0.00234
0.60000,-0.17985,0.01718
0.70000,-0.21004,-0.00834
0.80000,-0.24005,0.03942
0.90000,-0.27019,0.01127
1.00000,-0.30008,0.05597
1.10000,-0.33016,0.02078
1.20000,-0.36017,0.02629
1.30000,-0.39001,0.01450
1.40000,-0.42014,0.00001
1.50000,-0.45004,0.00174
1.60000,-0.47999,0.08319
1.70000,-0.50994,0.01588
1.80000,-0.53996,0.01044
1.90000,-0.56997,0.03758
2.00000,-0.59999,0.00852
2.10000,-0.63000,0.04656
2.20000,-0.66002,-0.00104
2.30000,-0.68991,-0.00285
2.40000,-0.72004,-0.01539
2.50000,-0.74994,0.03414
2.60000,-0.78007,0.06937
2.70000,-0.80997,0.00034
2.80000,-0.84004,0.02475
2.90000,-0.86994,-0.00524
3.00000,-0.89989,-0.28751
3.10000,-0.92991,-1.75062
3.20000,-0.95992,-3.44406
3.30000,-0.98988,-5.11755
3.40000,-1.02001,-6.89015
3.50000,-1.04996,-8.61095
3.60000,-1.08004,-10.27233
3.70000,-1.10999,-11.79602
3.80000,-1.14007,-13.07413
3.90000,-1.17002,-14.81448
4.00000,-1.20004,-16.76227
4.10000,-1.23005,-18.72798
4.20000,-1.26006,-21.07803
4.30000,-1.29002,-23.37841
4.40000,-1.31997,-25.33725
4.50000,-1.34999,-26.22947
4.60000,-1.37994,-27.45083
4.70000,-1.40996,-28.67413
4.80000,-1.43991,-31.03128
4.90000,-1.46998,-32.78361
5.00000,-1.50000,-34.42860
5.10000,-1.53001,-36.43427
5.20000,-1.55997,-38.57177
5.30000,-1.58998,-40.73835
5.40000,-1.62000,-42.99718
5.50000,-1.65007,-45.34259
5.60000,-1.68008,-47.70666
5.70000,-1.71004,-50.07138
5.80000,-1.73999,-52.53122
5.90000,-1.77007,-54.94461
6.00000,-1.79996,-57.40658
6.10000,-1.82998,-59.84525
6.20000,-1.85999,-62.29816
6.30000,-1.88995,-64.68582
6.40000,-1.91984,-67.11491
6.50000,-1.94997,-69.64152
6.60000,-1.97999,-72.04479
6.70000,-2.00994,-74.53265
6.80000,-2.03996,-76.99941
6.90000,-2.06997,-79.49401
7.00000,-2.09999,-81.98346
7.10000,-2.13000,-84.38746
7.20000,-2.15996,-86.92034
7.30000,-2.19003,-89.37814
7.40000,-2.22004,-91.86117
7.50000,-2.25012,-94.35145
7.60000,-2.27995,-96.76837
7.70000,-2.31003,-99.29899
7.80000,-2.34010,-101.76147
7.90000,-2.36994,-104.20091
8.00000,-2.40007,-106.69918
8.10000,-2.43008,-109.16014
8.20000,-2.46004,-111.65502
8.30000,-2.49005,-114.12109
8.40000,-2.51995,-116.59654
8.50000,-2.55002,-119.06439
8.60000,-2.57992,-121.54835
8.70000,-2.60993,-124.03744
8.80000,-2.64001,-126.46358
