Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.07158
0.10000,-0.01578,0.05072
0.20000,-0.05040,0.05462
0.30000,-0.08520,0.12711
0.40000,-0.11796,0.03893
0.50000,-0.14923,0.05688
0.60000,-0.17979,0.06587
0.70000,-0.20986,0.03116
0.80000,-0.23982,0.00499
0.90000,-0.27007,0.03590
1.00000,-0.29996,-0.00505
1.10000,-0.33010,0.05896
1.20000,-0.35999,0.03988
1.30000,-0.39007,0.06128
1.40000,-0.42008,0.03596
1.50000,-0.45010,0.07084
1.60000,-0.48005,0.09285
1.70000,-0.50994,0.00654
1.80000,-0.54002,-0.00917
1.90000,-0.56997,0.05321
2.00000,-0.59993,0.04522
2.10000,-0.63006,0.08545
2.20000,-0.65996,0.05363
2.30000,-0.69003,0.03184
2.40000,-0.71999,0.05135
2.50000,-0.74994,0.04899
2.60000,-0.77989,0.03415
2.70000,-0.80979,0.04336
2.80000,-0.83980,0.08570
2.90000,-0.86976,0.01075
3.00000,-0.89989,0.05195
3.10000,-0.92991,0.06783
3.20000,-0.95992,0.02078
3.30000,-0.98993,0.04324
3.40000,-1.01995,0.01639
3.50000,-1.05002,0.00913
3.60000,-1.08004,0.07609
3.70000,-1.11005,0.02465
3.80000,-1.14001,0.05878
3.90000,-1.16990,0.05627
4.00000,-1.19992,0.03752
4.10000,-1.22999,0.04857
4.20000,-1.26000,-0.00438
4.30000,-1.28996,0.04935
4.40000,-1.31997,0.01643
4.50000,-1.34987,0.05092
4.60000,-1.37988,0.10231
4.70000,-1.40990,0.04596
4.80000,-1.43985,0.06014
4.90000,-1.46998,0.04159
5.00000,-1.49988,0.00159
5.10000,-1.52989,0.08264
5.20000,-1.55997,0.05578
5.30000,-1.58992,0.01224
5.40000,-1.62000,0.02384
5.50000,-1.64995,0.01347
5.60000,-1.68003,0.02610
5.70000,-1.70998,0.00442
5.80000,-1.73993,0.01962
5.90000,-1.76995,-0.02051
6.00000,-1.80008,-0.01403
6.10000,-1.82998,0.11365
6.20000,-1.86011,0.07960
6.30000,-1.88995,0.02023
6.40000,-1.92002,0.03828
6.50000,-1.95003,0.02685
6.60000,-1.97993,0.07729
6.70000,-2.01006,0.03882
6.80000,-2.04008,0.02669
6.90000,-2.07003,0.00880
7.00000,-2.09993,0.02913
7.10000,-2.12982,0.04787
7.20000,-2.15996,0.03513
7.30000,-2.18997,0.07594
7.40000,-2.21998,0.06554
7.50000,-2.25000,0.04961
7.60000,-2.27995,0.07546
7.70000,-2.31003,-0.00093
7.80000,-2.34004,0.01793
7.90000,-2.37000,0.02289
8.00000,-2.39995,-0.00125
8.10000,-2.42996,0.04145
8.20000,-2.45992,-0.01701
8.30000,-2.48987,0.02237
8.40000,-2.52007,0.04273
8.50000,-2.54990,0.04531
8.60000,-2.57992,0.02582
8.70000,-2.60981,0.03701
8.80000,-2.64001,-0.02678
8.90000,-2.66990,0.01025
9.00000,-2.69991,-0.63071
9.10000,-2.72993,-0.90346
9.20000,-2.75994,-1.22190
9.30000,-2.78996,-1.59033
9.40000,-2.81991,-1.52228
9.50000,-2.84999,-2.75907
9.60000,-2.87982,-2.23653
9.70000,-2.90990,-3.81441
9.80000,-2.93991,-8.53633
9.90000,-2.97004,-9.97054
10.00000,-3.00006,-11.27195
10.10000,-3.03001,-11.86477
10.20000,-3.05991,-12.76858
10.30000,-3.08992,-14.54721
10.40000,-3.12000,-16.38340
10.50000,-3.15001,-17.61472
10.60000,-3.18008,-20.79637
10.70000,-3.20998,-22.60436
10.80000,-3.23999,-25.30912
10.90000,-3.26995,-29.97412
11.00000,-3.29990,-31.28751
11.10000,-3.32992,-31.69073
11.20000,-3.35987,-30.86778
11.30000,-3.39000,-30.72629
11.40000,-3.41990,-34.03209
11.50000,-3.44991,-35.31159
11.60000,-3.47987,-40.33748
11.70000,-3.50988,-46.92680
11.80000,-3.53996,-55.26484
11.90000,-3.56997,-64.22578
12.00000,-3.59993,-67.75303
12.10000,-3.63000,-66.10577
12.20000,-3.65995,-65.81572
12.30000,-3.69003,-59.81929
12.40000,-3.72004,-55.41882
12.50000,-3.75006,-44.52993
12.60000,-3.78001,-36.13832
12.70000,-3.80997,-25.02788
12.77800,-3.83328,-12.34130
12.87800,-3.86330,-2.77156
12.97800,-3.89331,-0.23386
13.07800,-3.92333,0.07582
13.17800,-3.95340,-0.00039
13.27800,-3.98336,0.03119
13.37800,-4.01331,0.05257
13.47800,-4.04327,-0.00263
13.57800,-4.07334,0.08113
13.67800,-4.10335,0.00469
13.77800,-4.13325,0.05286
13.87800,-4.16326,0.03499
13.97800,-4.19328,0.02567
14.07800,-4.22329,0.03168
14.17800,-4.25342,0.02862
14.27800,-4.28338,0.04966
14.37800,-4.31345,0.05115
14.47800,-4.34341,0.03402
14.57800,-4.37336,0.08017
14.67800,-4.40338,0.01540
14.77800,-4.43333,0.06791
14.87800,-4.46329,0.03977
14.97800,-4.49330,0.01892
15.07800,-4.52326,0.03546
15.17800,-4.55327,0.02098
15.27800,-4.58334,0.06965
15.37800,-4.61330,0.01745
15.47800,-4.64325,0.03343
15.57800,-4.67339,0.04211
15.67800,-4.70340,0.03674
15.77800,-4.73336,0.03393
15.87800,-4.76331,0.01836
15.97800,-4.79326,0.05719
16.07800,-4.82334,0.04828
16.17800,-4.85335,0.04086
16.27800,-4.88343,-0.00660
16.37800,-4.91344,0.00516
16.47800,-4.94328,0.05295
16.57800,-4.97335,0.05559
16.67800,-5.00325,0.04392
16.77800,-5.03326,0.03040
16.87800,-5.06327,0.05328
16.97800,-5.09323,0.05429
17.07800,-5.12330,0.07623
17.17800,-5.15332,0.00509
17.27800,-5.18339,0.07133
17.37800,-5.21335,0.02691
17.47800,-5.24336,0.06805
17.57800,-5.27331,0.08575
17.67800,-5.30327,0.05616
17.77800,-5.33322,0.06587
17.87800,-5.36342,0.04985
17.97800,-5.39331,0.02704
18.07800,-5.42333,0.09200
18.17800,-5.45334,0.03345
18.27800,-5.48347,0.06511
18.37800,-5.51343,0.02404
18.47800,-5.54344,0.05505
18.57800,-5.57340,0.05405
18.67800,-5.60335,0.04396
18.77800,-5.63343,0.08660
18.87800,-5.66338,0.06231
18.97800,-5.69328,0.02323
19.07800,-5.72323,0.06409
19.17800,-5.75336,0.04220
19.27800,-5.78344,0.05960
19.37800,-5.81339,0.03241
19.47800,-5.84335,0.05062
19.57800,-5.87342,0.06610
19.67800,-5.90326,0.04878
19.77800,-5.93327,0.08899
19.87800,-5.96341,0.06855
19.97800,-5.99324,0.03081
20.07800,-6.02343,0.11350
20.17800,-6.05333,0.03769
20.27800,-6.08346,0.08253
20.37800,-6.11336,0.05747
20.47800,-6.14349,0.00601
20.57800,-6.17345,0.03542
20.67800,-6.20334,0.01893
20.77800,-6.23329,0.04070
20.87800,-6.26337,0.04372
20.97800,-6.29332,0.01589
21.07800,-6.32328,0.10935
21.17800,-6.35329,-0.00051
21.27800,-6.38319,0.11968
21.37800,-6.41326,0.05277
21.47800,-6.44333,0.09219
21.57800,-6.47335,0.04778
21.67800,-6.50330,0.02899
21.77800,-6.53338,0.05987
21.87800,-6.56339,0.05442
21.97800,-6.59341,0.00952
22.07800,-6.62336,0.06639
22.17800,-6.65338,0.02110
22.27800,-6.68345,0.09928
22.37800,-6.71334,0.04684
22.47800,-6.74342,0.10301
22.57800,-6.77337,0.06388
22.67800,-6.80351,0.06374
22.77800,-6.83334,0.05321
22.87800,-6.86336,0.10728
22.97800,-6.89331,0.03936
23.07800,-6.92327,0.08625
23.17800,-6.95340,0.10062
23.27800,-6.98329,0.07496
23.37800,-7.01331,0.04507
23.47800,-7.04332,0.03232
23.57800,-7.07340,0.09006
23.67800,-7.10341,0.05814
23.77800,-7.13349,0.08357
23.87800,-7.16338,0.06069
23.97800,-7.19339,0.03617
24.07800,-7.22323,0.06061
24.17800,-7.25348,0.02724
24.27800,-7.28332,0.02702
24.37800,-7.31333,0.01885
24.47800,-7.34329,0.07004
24.57800,-7.37342,0.10278
24.67800,-7.40326,0.03915
24.77800,-7.43333,0.06646
24.87800,-7.46328,0.03333
24.97800,-7.49336,0.04590
25.07800,-7.52331,0.08922
25.17800,-7.55345,0.05293
25.27800,-7.58334,0.10596
25.37800,-7.61330,0.05876
25.47800,-7.64331,0.08473
25.57800,-7.67333,0.08631
25.67800,-7.70340,0.06664
25.77800,-7.73335,0.07460
25.87800,-7.76337,0.08962
25.97800,-7.79326,0.04110
26.07800,-7.82328,0.06819
26.17800,-7.85335,0.05250
26.27800,-7.88337,0.05854
26.37800,-7.91332,0.03920
26.47800,-7.94333,0.05672
26.57800,-7.97329,0.06506
26.67800,-8.00330,0.05468
26.77800,-8.03326,0.01390
26.87800,-8.06339,0.04399
26.97800,-8.09335,-0.00060
27.07800,-8.12336,0.05809
27.17800,-8.15331,0.04154
27.27800,-8.18339,0.04070
27.37800,-8.21340,0.04158
27.47800,-8.24336,-1.85677
27.57800,-8.27331,-0.65994
27.67800,-8.30333,-0.81971
27.77800,-8.33334,-2.26811
27.87800,-8.36336,-9.88610
27.97800,-8.39331,-16.17899
28.07800,-8.42332,-18.09937
28.17800,-8.45334,-18.04221
28.27800,-8.48335,-17.65265
28.37800,-8.51331,-17.62502
28.47800,-8.54332,-17.33382
28.57800,-8.57346,-17.10211
28.67800,-8.60329,-16.92008
28.77800,-8.63342,-16.37076
28.87800,-8.66344,-15.97337
28.97800,-8.69333,-16.22792
29.07800,-8.72335,-16.59073
29.17800,-8.75318,-16.58931
29.27800,-8.78338,-16.70684
