Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.92547
0.10000,0.00717,0.80971
0.20000,0.02637,4.66508
0.30000,0.04628,17.33340
0.40000,0.06487,34.04471
0.50000,0.08269,53.33135
0.60000,0.09973,69.93691
0.70000,0.11659,82.38158
0.80000,0.13333,84.32278
0.90000,0.15007,85.30983
1.00000,0.16675,85.42851
1.10000,0.18337,84.57620
1.20000,0.20012,85.37759
1.30000,0.21668,85.44888
1.40000,0.23336,85.41520
1.50000,0.25004,84.49199
1.60000,0.26666,85.61926
1.70000,0.28340,84.80886
1.80000,0.30002,86.13237
1.90000,0.31665,84.66747
2.00000,0.33327,85.77868
2.10000,0.34995,85.73755
2.20000,0.36663,85.78103
2.30000,0.38325,85.81824
2.40000,0.39987,85.29103
2.50000,0.41667,85.69251
2.60000,0.43317,86.37679
2.70000,0.44986,87.16016
2.80000,0.46666,99.44267
2.90000,0.48316,114.30051
3.00000,0.49990,130.71845
3.10000,0.51658,146.77917
3.20000,0.53338,164.45324
3.30000,0.55000,181.23781
3.40000,0.56651,197.62048
3.50000,0.58331,213.55704
3.60000,0.59987,230.15633
3.70000,0.61661,247.34666
3.80000,0.63329,263.98238
3.90000,0.64985,279.89231
4.00000,0.66665,295.86216
4.10000,0.68333,313.12653
4.20000,0.69996,329.91304
4.30000,0.71670,345.78692
4.40000,0.73332,362.36153
4.50000,0.75006,378.14688
4.60000,0.76668,393.97222
4.70000,0.78330,409.28205
4.80000,0.79998,424.91583
4.90000,0.81666,440.31655
5.00000,0.83335,455.48580
5.10000,0.84997,470.55124
5.20000,0.86677,486.90690
5.30000,0.88339,502.58767
5.40000,0.90007,518.20343
5.50000,0.91669,533.43498
5.60000,0.93319,547.50200
5.70000,0.94994,563.33831
5.80000,0.96656,578.54122
5.90000,0.98324,594.21221
6.00000,0.99986,608.09632
6.10000,1.01654,622.65177
6.20000,1.03322,638.91970
6.30000,1.04990,654.22915
6.40000,1.06658,669.14223
6.50000,1.08321,683.59626
6.60000,1.09983,697.48820
6.70000,1.11663,712.49804
6.80000,1.13325,728.08559
6.90000,1.14993,741.79661
7.00000,1.16661,755.75747
7.10000,1.18323,769.95222
7.20000,1.19992,785.28831
7.30000,1.21660,799.12385
7.40000,1.23334,813.42394
7.50000,1.24996,827.86186
7.60000,1.26664,840.92738
7.70000,1.28326,856.10049
7.80000,1.29988,869.77622
7.90000,1.31656,884.09279
8.00000,1.33331,899.04154
8.10000,1.34999,913.24802
8.20000,1.36661,927.67421
8.30000,1.38323,942.99270
8.40000,1.39997,956.03783
8.50000,1.41665,969.88082
8.60000,1.43327,983.45904
8.70000,1.45001,997.18561
8.80000,1.46664,1011.12109
8.90000,1.48332,1025.11607
9.00000,1.50000,1037.73465
9.10000,1.51668,1050.21847
9.20000,1.53330,1064.35167
