Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.06857
0.10000,-0.01638,0.00151
0.20000,-0.05070,0.11414
0.30000,-0.08538,0.07150
0.40000,-0.11802,0.05839
0.50000,-0.14917,0.00591
0.60000,-0.17979,0.04565
0.70000,-0.20998,0.02516
0.80000,-0.24005,0.01480
0.90000,-0.27013,0.01795
1.00000,-0.30008,0.02159
1.10000,-0.33010,0.03802
1.20000,-0.36017,-0.00833
1.30000,-0.39001,0.00818
1.40000,-0.42014,0.04759
1.50000,-0.45004,0.02753
1.60000,-0.47999,0.04746
1.70000,-0.50994,0.05810
1.80000,-0.53996,-0.01251
1.90000,-0.56997,0.04389
2.00000,-0.59999,0.02607
2.10000,-0.62994,0.04773
2.20000,-0.66002,0.02680
2.30000,-0.68991,-0.03354
2.40000,-0.72004,0.03375
2.50000,-0.74994,-0.04800
2.60000,-0.78001,-0.74008
2.70000,-0.80997,-2.06137
2.80000,-0.84004,-3.44551
2.90000,-0.86994,-4.95581
3.00000,-0.89995,-6.70736
3.10000,-0.92997,-8.52881
3.20000,-0.95992,-10.35697
3.30000,-0.98993,-12.29130
3.40000,-1.01995,-14.22118
3.50000,-1.04996,-16.26253
3.60000,-1.08004,-18.15255
3.70000,-1.10999,-20.12882
3.80000,-1.14001,-22.07287
3.90000,-1.17002,-23.74870
4.00000,-1.20004,-23.93668
4.10000,-1.23005,-23.90809
4.20000,-1.26006,-24.29168
4.30000,-1.29002,-25.91484
4.40000,-1.31997,-27.73796
4.50000,-1.34999,-29.72807
4.60000,-1.37994,-31.65238
4.70000,-1.40996,-33.63003
4.80000,-1.43985,-35.56767
4.90000,-1.46998,-37.49996
5.00000,-1.50000,-39.46634
5.10000,-1.53001,-41.35903
5.20000,-1.56003,-43.25219
5.30000,-1.59004,-45.16360
5.40000,-1.62000,-47.07423
5.50000,-1.65001,-49.08425
5.60000,-1.68008,-50.94923
5.70000,-1.71004,-52.91977
5.80000,-1.73999,-54.91002
5.90000,-1.77007,-56.93180
6.00000,-1.79996,-58.94928
6.10000,-1.82998,-60.85246
6.20000,-1.85999,-62.86408
6.30000,-1.88995,-64.79424
6.40000,-1.91984,-66.73459
6.50000,-1.94997,-68.67634
6.60000,-1.97999,-70.71726
6.70000,-2.00994,-72.64879
6.80000,-2.03996,-74.62230
6.90000,-2.06997,-76.57144
7.00000,-2.09999,-78.56627
7.10000,-2.13000,-80.53479
7.20000,-2.15996,-82.49620
7.30000,-2.19009,-84.43078
7.40000,-2.22004,-86.35267
7.50000,-2.25012,-88.27616
7.60000,-2.27995,-90.27316
7.70000,-2.31003,-92.17149
7.80000,-2.34016,-94.11144
7.90000,-2.36994,-96.00407
8.00000,-2.40007,-97.95968
8.10000,-2.43002,-99.85312
8.20000,-2.46004,-101.81575
8.30000,-2.49005,-103.66020
8.40000,-2.51995,-105.61134
8.50000,-2.55002,-107.46064
8.60000,-2.57992,-109.36854
8.70000,-2.60999,-111.26563
8.80000,-2.64001,-113.16665
8.90000,-2.66990,-115.03034
9.00000,-2.70003,-116.85681
9.10000,-2.72999,-118.71120
9.20000,-2.75994,-120.60707
9.30000,-2.79002,-122.47561
9.40000,-2.81997,-124.36965
9.50000,-2.84999,-126.17027
9.60000,-2.88000,-127.98856
9.70000,-2.91001,-129.86549
9.80000,-2.93985,-131.69638
9.90000,-2.97004,-133.48840
10.00000,-2.99994,-135.37360
10.10000,-3.03001,-137.15647
10.20000,-3.05997,-138.95260
10.30000,-3.08998,-140.78046
10.40000,-3.11994,-142.58266
10.50000,-3.14995,-144.36177
10.60000,-3.17996,-146.17231
10.70000,-3.21004,-147.91322
