Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00006,7.14598
0.10000,-0.00114,9.43259
0.20000,-0.00490,8.42676
0.30000,-0.00921,9.12199
0.40000,-0.01285,8.53056
0.50000,-0.01644,7.88625
0.60000,-0.01985,8.29163
0.70000,-0.02320,8.43538
0.80000,-0.02661,8.82392
0.90000,-0.03007,8.64336
1.00000,-0.03330,8.09305
1.10000,-0.03671,7.81849
1.20000,-0.04006,7.90505
1.30000,-0.04323,8.12008
1.40000,-0.04664,8.34255
1.50000,-0.05004,8.84116
1.60000,-0.05327,8.62495
1.70000,-0.05668,8.13418
1.80000,-0.06009,8.69976
1.90000,-0.06326,7.88390
2.00000,-0.06661,7.90622
2.10000,-0.07007,7.97633
2.20000,-0.07324,8.11773
2.30000,-0.07665,7.75112
2.40000,-0.08012,8.33589
2.50000,-0.08335,7.93873
2.60000,-0.08663,8.15180
2.70000,-0.09004,8.18666
2.80000,-0.09333,8.08169
2.90000,-0.09656,7.53804
3.00000,-0.10009,7.14245
3.10000,-0.10338,7.67161
3.20000,-0.10660,7.42446
3.30000,-0.11001,7.91014
3.40000,-0.11336,7.31636
3.50000,-0.11653,7.28110
3.60000,-0.12000,7.44561
3.70000,-0.12341,6.70025
3.80000,-0.12663,6.71082
3.90000,-0.12998,7.63322
4.00000,-0.13345,7.26270
4.10000,-0.13656,7.50201
4.20000,-0.14003,6.65834
4.30000,-0.14344,6.49540
4.40000,-0.14666,6.88355
4.50000,-0.15007,6.87219
4.60000,-0.15348,6.61799
4.70000,-0.15665,6.29643
4.80000,-0.15994,6.35910
4.90000,-0.16334,6.19498
5.00000,-0.16663,6.74568
5.10000,-0.16992,5.62588
5.20000,-0.17339,6.10999
5.30000,-0.17674,6.46211
5.40000,-0.17991,5.88125
5.50000,-0.18331,6.02891
5.60000,-0.18666,5.53148
5.70000,-0.18989,4.68115
5.80000,-0.19330,4.94436
5.90000,-0.19677,4.27850
6.00000,-0.19994,3.94558
6.10000,-0.20334,3.80144
6.20000,-0.20669,3.04511
6.30000,-0.20992,2.49206
6.40000,-0.21327,1.64369
6.50000,-0.21674,0.45299
6.60000,-0.21997,0.32452
6.70000,-0.22331,-2.17478
6.80000,-0.22672,-5.21694
6.90000,-0.22995,-7.54860
7.00000,-0.23324,-11.68785
7.10000,-0.23665,-15.15302
7.20000,-0.23994,-20.84723
7.30000,-0.24334,-26.89160
7.40000,-0.24669,-33.97000
7.50000,-0.25010,-43.60057
7.60000,-0.25327,-53.11482
7.70000,-0.25668,-66.02882
7.80000,-0.25996,-83.15023
7.90000,-0.26319,-102.66831
8.00000,-0.26666,-127.37339
8.10000,-0.27007,-154.06387
8.20000,-0.27324,-182.46050
8.30000,-0.27665,-217.30924
8.40000,-0.28005,-253.27976
8.50000,-0.28322,-289.77003
8.60000,-0.28663,-331.31959
8.70000,-0.29004,-375.92463
8.80000,-0.29327,-420.78467
8.90000,-0.29668,-469.40008
9.00000,-0.30008,-524.12176
9.10000,-0.30325,-575.00503
9.20000,-0.30660,-631.57426
9.30000,-0.31001,-692.22320
9.40000,-0.31330,-751.44055
9.50000,-0.31659,-812.12204
9.60000,-0.32005,-879.50435
9.70000,-0.32328,-946.41345
9.80000,-0.32651,-1012.26382
9.90000,-0.32998,-1085.85618
10.00000,-0.33327,-1157.05580
10.10000,-0.33650,-1225.83983
10.20000,-0.34002,-1307.18267
10.30000,-0.34331,-1386.22718
10.40000,-0.34648,-1458.56105
10.50000,-0.34995,-1535.90720
10.60000,-0.35336,-1621.97836
10.70000,-0.35647,-1700.74645
10.80000,-0.35999,-1790.93089
10.90000,-0.36340,-1883.66696
11.00000,-0.36663,-1971.56481
11.10000,-0.36998,-2064.04477
11.20000,-0.37339,-2163.33810
11.30000,-0.37655,-2253.74121
11.40000,-0.37990,-2348.29076
11.50000,-0.38337,-2450.11672
11.60000,-0.38660,-2548.63929
11.70000,-0.38995,-2648.02277
11.80000,-0.39341,-2759.39014
11.90000,-0.39658,-2862.46482
12.00000,-0.39987,-2965.81443
12.10000,-0.40328,-3077.74898
12.20000,-0.40663,-3187.65379
12.30000,-0.40980,-3291.24555
12.40000,-0.41338,-3408.87867
12.50000,-0.41667,-3527.87189
12.60000,-0.41984,-3632.67809
12.70000,-0.42331,-3749.71144
12.80000,-0.42666,-3870.23613
12.90000,-0.42989,-3985.24962
13.00000,-0.43329,-4100.82676
13.10000,-0.43670,-4225.77597
13.20000,-0.43993,-4345.49153
13.30000,-0.44328,-4467.33944
13.40000,-0.44663,-4597.42397
13.50000,-0.44992,-4720.21177
13.60000,-0.45320,-4845.78237
13.70000,-0.45667,-4977.95232
13.80000,-0.45996,-5104.12417
13.90000,-0.46331,-5240.02239
14.00000,-0.46660,-5371.35713
14.10000,-0.46995,-5506.04649
14.20000,-0.47317,-5635.69367
14.30000,-0.47664,-5780.16788
14.40000,-0.47993,-5918.68609
14.50000,-0.48328,-6054.68452
14.60000,-0.48669,-6199.83077
14.70000,-0.48992,-6345.74220
14.80000,-0.49314,-6483.36187
14.90000,-0.49661,-6632.81456
15.00000,-0.49996,-6780.37405
15.10000,-0.50319,-6924.75215
15.20000,-0.50666,-7078.54927
15.30000,-0.51000,-7229.19926
15.40000,-0.51317,-7373.77629
15.50000,-0.51664,-7530.92393
15.60000,-0.51999,-7687.59847
15.70000,-0.52322,-7833.16568
15.80000,-0.52663,-7995.56971
15.90000,-0.53003,-8155.16785
16.00000,-0.53326,-8309.05661
16.10000,-0.53661,-8466.88822
16.20000,-0.54002,-8637.16602
16.30000,-0.54319,-8791.59868
16.40000,-0.54654,-8949.86317
16.50000,-0.55000,-9118.70077
16.60000,-0.55329,-9280.13176
16.70000,-0.55658,-9438.68607
16.80000,-0.56005,-9616.04863
16.90000,-0.56322,-9778.33048
17.00000,-0.56645,-9937.08670
17.10000,-0.56997,-10110.62935
17.20000,-0.57326,-10280.66799
17.30000,-0.57649,-10432.03101
17.40000,-0.58002,-10617.89170
17.50000,-0.58331,-10788.39824
17.60000,-0.58654,-10947.82948
17.70000,-0.58994,-11120.22921
17.80000,-0.59335,-11296.53379
17.90000,-0.59646,-11456.59238
18.00000,-0.59993,-11625.57304
18.10000,-0.60334,-11804.48830
18.20000,-0.60656,-11970.50810
18.30000,-0.60991,-12142.06144
18.40000,-0.61338,-12322.68736
18.50000,-0.61655,-12489.17431
18.60000,-0.61990,-12658.13559
18.70000,-0.62331,-12837.35335
18.80000,-0.62659,-13012.04711
18.90000,-0.62982,-13179.55852
19.00000,-0.63341,-13366.43696
19.10000,-0.63652,-13537.41586
19.20000,-0.63981,-13702.19886
19.30000,-0.64328,-13890.39606
19.40000,-0.64656,-14060.92495
19.50000,-0.64985,-14232.30022
19.60000,-0.65332,-14417.73474
19.70000,-0.65661,-14597.17602
19.80000,-0.65984,-14762.77560
19.90000,-0.66324,-14947.72732
20.00000,-0.66659,-15126.88547
20.10000,-0.66988,-15295.07637
20.20000,-0.67323,-15475.48324
20.30000,-0.67664,-15663.37943
20.40000,-0.67993,-15838.36228
20.50000,-0.68321,-16016.00051
20.60000,-0.68662,-16195.45966
20.70000,-0.68991,-16375.99021
20.80000,-0.69326,-16547.39529
20.90000,-0.69673,-16736.12148
21.00000,-0.69990,-16914.81173
21.10000,-0.70330,-17099.46990
21.20000,-0.70665,-17280.86174
21.30000,-0.70988,-17454.16373
21.40000,-0.71323,-17637.51656
21.50000,-0.71670,-17829.53590
21.60000,-0.71987,-18000.34940
21.70000,-0.72321,-18188.41547
21.80000,-0.72662,-18384.17798
21.90000,-0.72985,-18557.53362
22.00000,-0.73314,-18731.54342
22.10000,-0.73661,-18933.77602
22.20000,-0.73984,-19110.63939
22.30000,-0.74324,-19286.40008
22.40000,-0.74659,-19476.89652
22.50000,-0.74994,-19670.75765
22.60000,-0.75323,-19850.48056
22.70000,-0.75658,-20029.39135
22.80000,-0.75992,-20220.61348
22.90000,-0.76315,-20394.82445
23.00000,-0.76662,-20574.08988
23.10000,-0.76997,-20760.33652
23.20000,-0.77320,-20944.44782
23.30000,-0.77661,-21130.23102
23.40000,-0.78001,-21320.16122
23.50000,-0.78318,-21486.52673
23.60000,-0.78647,-21670.18950
23.70000,-0.79006,-21870.02301
23.80000,-0.79323,-22048.09934
23.90000,-0.79652,-22223.02556
24.00000,-0.80004,-22429.85964
24.10000,-0.80321,-22603.69211
24.20000,-0.80650,-22779.13541
24.30000,-0.80997,-22975.02160
24.40000,-0.81326,-23163.81335
24.50000,-0.81649,-23329.37717
24.60000,-0.81995,-23525.86985
24.70000,-0.82324,-23720.40898
24.80000,-0.82647,-23891.22397
24.90000,-0.82994,-24079.36156
25.00000,-0.83335,-24275.62624
25.10000,-0.83651,-24444.47130
25.20000,-0.83992,-24626.17755
25.30000,-0.84327,-24816.49220
25.40000,-0.84656,-24996.83648
25.50000,-0.84985,-25171.82231
25.60000,-0.85344,-25362.55419
25.70000,-0.85648,-25527.31037
25.80000,-0.85989,-25705.01566
25.90000,-0.86336,-25898.59664
26.00000,-0.86659,-26071.44713
26.10000,-0.86988,-26255.83410
26.20000,-0.87329,-26444.11325
26.30000,-0.87651,-26617.35117
26.40000,-0.87980,-26795.13693
26.50000,-0.88327,-26986.56321
26.60000,-0.88656,-27166.17882
26.70000,-0.88985,-27342.16452
26.80000,-0.89320,-27528.86117
26.90000,-0.89654,-27716.40718
27.00000,-0.89989,-27887.21621
27.10000,-0.90312,-28061.78927
27.20000,-0.90665,-28248.21174
27.30000,-0.90988,-28422.99342
27.40000,-0.91322,-28594.79487
27.50000,-0.91669,-28792.57798
27.60000,-0.91986,-28957.55768
27.70000,-0.92327,-29130.90587
27.80000,-0.92662,-29311.07879
27.90000,-0.92985,-29481.14276
28.00000,-0.93325,-29652.36306
28.10000,-0.93666,-29835.20925
28.20000,-0.93989,-30010.30385
28.30000,-0.94330,-30192.68513
28.40000,-0.94665,-30367.38634
28.50000,-0.94982,-30533.68330
28.60000,-0.95316,-30708.24742
28.70000,-0.95663,-30901.66152
28.80000,-0.95980,-31067.44587
28.90000,-0.96321,-31251.63019
29.00000,-0.96662,-31438.33578
29.10000,-0.96991,-31614.28273
29.20000,-0.97313,-31787.89616
29.30000,-0.97660,-31967.93497
29.40000,-0.97995,-32145.50316
29.50000,-0.98312,-32310.28020
29.60000,-0.98659,-32492.37537
29.70000,-0.98999,-32681.27739
29.80000,-0.99316,-32842.66293
29.90000,-0.99663,-33015.06341
30.00000,-1.00004,-33201.07460
30.10000,-1.00321,-33357.49507
30.20000,-1.00656,-33520.70451
30.30000,-1.01002,-33712.15463
30.40000,-1.01313,-33877.42639
30.50000,-1.01666,-34047.77348
30.60000,-1.02001,-34232.06210
30.70000,-1.02324,-34391.35849
30.80000,-1.02665,-34561.82778
30.90000,-1.03005,-34735.76605
31.00000,-1.03322,-34900.99013
31.10000,-1.03651,-35061.76174
31.20000,-1.03998,-35245.81194
31.30000,-1.04321,-35411.33702
31.40000,-1.04650,-35573.51828
31.50000,-1.05002,-35760.20598
31.60000,-1.05331,-35932.77931
31.70000,-1.05642,-36085.27482
31.80000,-1.05989,-36262.61950
31.90000,-1.06330,-36442.94739
32.00000,-1.06641,-36597.89562
32.10000,-1.06987,-36764.97936
32.20000,-1.07340,-36960.73592
32.30000,-1.07651,-37097.63288
32.40000,-1.07992,-37273.34738
32.50000,-1.08333,-37454.04184
32.60000,-1.08655,-37610.20005
32.70000,-1.08990,-37774.75655
32.80000,-1.09337,-37953.79400
32.90000,-1.09660,-38108.25050
33.00000,-1.09989,-38265.74683
33.10000,-1.10330,-38443.08853
33.20000,-1.10658,-38608.30069
33.30000,-1.10993,-38774.09101
33.40000,-1.11328,-38935.47654
33.50000,-1.11651,-39102.08642
33.60000,-1.11998,-39266.02006
33.70000,-1.12321,-39422.76239
33.80000,-1.12661,-39600.10111
33.90000,-1.12978,-39760.75053
34.00000,-1.13325,-39933.47883
34.10000,-1.13660,-40112.34343
34.20000,-1.13983,-40267.77446
34.30000,-1.14324,-40436.25891
34.40000,-1.14658,-40601.56941
34.50000,-1.14981,-40758.52931
34.60000,-1.15322,-40927.84822
34.70000,-1.15663,-41102.83554
34.80000,-1.15992,-41258.28445
34.90000,-1.16332,-41432.53565
35.00000,-1.16661,-41592.45789
35.10000,-1.16984,-41741.39202
35.20000,-1.17325,-41909.28042
35.30000,-1.17660,-42084.36012
35.40000,-1.17983,-42236.92119
35.50000,-1.18329,-42413.74731
35.60000,-1.18664,-42576.68257
35.70000,-1.18999,-42741.77551
35.80000,-1.19328,-42893.81504
35.90000,-1.19669,-43063.75682
36.00000,-1.19992,-43218.56499
36.10000,-1.20320,-43376.53816
36.20000,-1.20667,-43550.09794
36.30000,-1.20990,-43709.08737
36.40000,-1.21313,-43857.60427
36.50000,-1.21666,-44031.31604
36.60000,-1.21994,-44193.79234
36.70000,-1.22305,-44334.95402
36.80000,-1.22652,-44510.97846
36.90000,-1.23005,-44691.74445
37.00000,-1.23304,-44821.37263
37.10000,-1.23669,-44998.89314
