Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00006,-10.84143
0.10000,-0.00102,-8.92769
0.20000,-0.00466,-9.17993
0.30000,-0.00897,-9.28255
0.40000,-0.01279,-10.13289
0.50000,-0.01638,-9.83051
0.60000,-0.01985,-10.54963
0.70000,-0.02326,-9.72358
0.80000,-0.02661,-9.32525
0.90000,-0.03007,-9.60804
1.00000,-0.03330,-9.83404
1.10000,-0.03665,-9.87986
1.20000,-0.04006,-9.97896
1.30000,-0.04323,-9.42473
1.40000,-0.04664,-9.29195
1.50000,-0.05004,-10.57822
1.60000,-0.05333,-10.42429
1.70000,-0.05668,-10.00167
1.80000,-0.06009,-10.13406
1.90000,-0.06326,-9.88182
2.00000,-0.06667,-10.08549
2.10000,-0.07001,-9.84422
2.20000,-0.07324,-9.57122
2.30000,-0.07665,-9.89436
2.40000,-0.08012,-10.83751
2.50000,-0.08329,-10.25196
2.60000,-0.08663,-10.70082
2.70000,-0.09004,-10.28956
2.80000,-0.09333,-10.45994
2.90000,-0.09656,-9.85949
3.00000,-0.10009,-10.95619
3.10000,-0.10338,-10.80070
3.20000,-0.10660,-10.26527
3.30000,-0.11001,-10.23864
3.40000,-0.11336,-10.93818
3.50000,-0.11659,-10.80618
3.60000,-0.12000,-11.37685
3.70000,-0.12341,-11.20687
3.80000,-0.12663,-11.72976
3.90000,-0.13004,-11.41681
4.00000,-0.13339,-11.64163
4.10000,-0.13656,-11.66160
4.20000,-0.14003,-12.18841
4.30000,-0.14344,-12.82528
4.40000,-0.14666,-12.44574
4.50000,-0.15007,-12.08422
4.60000,-0.15348,-13.09279
4.70000,-0.15665,-13.43825
4.80000,-0.15994,-13.13392
4.90000,-0.16334,-14.22474
5.00000,-0.16663,-14.15385
5.10000,-0.16992,-14.82558
5.20000,-0.17345,-16.09148
5.30000,-0.17674,-15.69588
5.40000,-0.17991,-16.00100
5.50000,-0.18325,-17.13883
5.60000,-0.18666,-17.21599
5.70000,-0.18989,-18.60018
5.80000,-0.19330,-19.07606
5.90000,-0.19683,-20.05565
6.00000,-0.19994,-20.53937
6.10000,-0.20334,-22.03558
6.20000,-0.20675,-22.30310
6.30000,-0.20998,-23.38099
6.40000,-0.21327,-24.42638
6.50000,-0.21674,-25.78159
6.60000,-0.22003,-27.22374
6.70000,-0.22337,-28.60323
6.80000,-0.22678,-30.04696
6.90000,-0.23001,-32.11384
7.00000,-0.23330,-33.24696
7.10000,-0.23665,-35.10313
7.20000,-0.23994,-35.95072
7.30000,-0.24334,-38.68698
7.40000,-0.24669,-41.64962
7.50000,-0.25010,-43.60802
7.60000,-0.25327,-45.85546
7.70000,-0.25668,-49.92068
7.80000,-0.26002,-53.00945
7.90000,-0.26325,-54.72697
8.00000,-0.26666,-55.04187
8.10000,-0.27007,-55.46293
8.20000,-0.27330,-59.15958
8.30000,-0.27665,-63.82093
8.40000,-0.28005,-70.33963
8.50000,-0.28328,-75.56617
8.60000,-0.28663,-82.20903
8.70000,-0.29004,-91.37272
8.80000,-0.29327,-102.01304
8.90000,-0.29668,-114.86751
9.00000,-0.30008,-130.66152
9.10000,-0.30325,-147.41436
9.20000,-0.30666,-167.66997
9.30000,-0.31007,-191.74601
9.40000,-0.31330,-218.46588
9.50000,-0.31665,-248.80525
9.60000,-0.32011,-284.30063
9.70000,-0.32328,-322.46688
9.80000,-0.32651,-361.85752
9.90000,-0.32998,-409.48200
10.00000,-0.33333,-459.17416
10.10000,-0.33650,-511.11653
10.20000,-0.34002,-570.72868
10.30000,-0.34337,-635.26621
10.40000,-0.34654,-698.20019
10.50000,-0.34995,-767.82485
10.60000,-0.35336,-844.64066
10.70000,-0.35647,-918.85850
10.80000,-0.35999,-1001.53545
10.90000,-0.36340,-1090.19522
11.00000,-0.36663,-1176.40896
11.10000,-0.36998,-1269.32822
11.20000,-0.37339,-1367.68119
11.30000,-0.37655,-1461.89267
11.40000,-0.37990,-1562.24910
11.50000,-0.38337,-1669.50617
11.60000,-0.38660,-1771.59701
11.70000,-0.38995,-1881.80171
11.80000,-0.39341,-1998.43012
11.90000,-0.39664,-2113.19719
12.00000,-0.39987,-2227.12588
12.10000,-0.40328,-2349.54488
12.20000,-0.40663,-2475.45820
12.30000,-0.40980,-2594.47191
12.40000,-0.41338,-2727.98315
12.50000,-0.41667,-2865.72129
12.60000,-0.41984,-2986.25771
12.70000,-0.42331,-3121.72733
12.80000,-0.42660,-3260.31223
12.90000,-0.42989,-3395.71200
13.00000,-0.43323,-3530.62004
13.10000,-0.43670,-3679.53926
13.20000,-0.43993,-3823.78064
13.30000,-0.44328,-3971.05478
13.40000,-0.44663,-4125.27844
13.50000,-0.44986,-4273.85904
13.60000,-0.45320,-4428.46045
13.70000,-0.45661,-4586.84340
13.80000,-0.45990,-4743.84017
13.90000,-0.46331,-4910.05257
14.00000,-0.46660,-5074.17098
14.10000,-0.46995,-5244.73824
14.20000,-0.47317,-5403.41996
14.30000,-0.47664,-5583.86892
14.40000,-0.47987,-5755.33845
14.50000,-0.48328,-5928.42475
14.60000,-0.48669,-6113.32320
14.70000,-0.48992,-6293.30650
14.80000,-0.49314,-6468.89880
14.90000,-0.49661,-6655.97171
15.00000,-0.49990,-6842.98128
15.10000,-0.50319,-7027.61263
15.20000,-0.50666,-7222.10407
15.30000,-0.50994,-7414.14353
15.40000,-0.51317,-7602.12094
15.50000,-0.51658,-7805.25208
15.60000,-0.51999,-8007.17101
15.70000,-0.52322,-8179.40608
15.80000,-0.52663,-8391.00480
15.90000,-0.53003,-8598.60629
16.00000,-0.53326,-8801.46101
16.10000,-0.53661,-9010.01394
16.20000,-0.54002,-9230.74633
16.30000,-0.54319,-9432.32030
16.40000,-0.54654,-9643.79832
16.50000,-0.54994,-9865.98581
16.60000,-0.55323,-10080.93879
16.70000,-0.55658,-10293.01360
16.80000,-0.55999,-10523.47496
16.90000,-0.56322,-10739.36820
17.00000,-0.56645,-10949.76142
17.10000,-0.56991,-11180.89855
17.20000,-0.57326,-11409.01893
17.30000,-0.57649,-11612.02863
17.40000,-0.58002,-11858.00582
17.50000,-0.58331,-12086.39443
17.60000,-0.58648,-12302.72576
17.70000,-0.58994,-12533.95528
17.80000,-0.59329,-12772.35448
17.90000,-0.59646,-12987.19049
18.00000,-0.59987,-13214.18434
